Episode_Number,Season,Episode,Viewer_Count,IMDB_Rating
214,9,20,"2,851",8.2
215,9,21,"2,797",8.2
216,9,22,"2,877",7.8
217,9,23,"2,958",8.5
218,9,24,"3,111",8.7
219,10,1,"3,383",8.5
220,10,2,"3,673",8.8
221,10,3,"3,554",8.8
222,10,4,"3,072",8.3
223,10,5,"3,062",8.2
224,10,6,"3,104",8.2
225,10,7,"2,955",8.3
226,10,8,"3,600",8.9
227,10,9,"3,113",8.6
228,10,10,"2,984",8
229,10,11,"3,979",9
230,10,12,"3,449",8.9
231,10,13,"3,313",8.5
232,10,14,"3,237",8.6
233,10,15,"3,011",8.5
234,10,16,"3,424",8.9
235,10,17,"11,649",9.7
236,10,18,"10,680",9.7
